Date,Open,High,Low,Close,Adj_Close,Volume,VWAP,Returns_Pct,Log_Returns,Dollar_Change,Intraday_Range,Intraday_Range_Pct,Daily_Return,Log_Return,SMA_10,SMA_20,SMA_50,SMA_200,EMA_12,EMA_26,RSI_14,MACD,MACD_Signal,MACD_Hist,BB_Mid,BB_Upper,BB_Lower,Volatility_20,Momentum_10,Price_Rate_of_Change,High_Low_Pct,Close_SMA20_Dist,Volume_SMA_20,Volume_Ratio
2000-01-03,5.1962,5.1962,5.1884,5.191,5.191,36286,5.1919,-0.1729,-0.001731,-0.009,0.0078,0.1511,,,,,,,5.191,5.191,,0.0,0.0,0.0,,,,,,,0.1502600654979864,,,
2000-01-04,5.1084,5.1084,5.0848,5.098,5.098,35819,5.0971,-1.7916,-0.018079,-0.093,0.0236,0.4649,-0.01791562319398954,-0.01807805089116821,,,,,5.140624999999999,5.142711538461538,,-0.002086538461538723,-0.0011591880341881792,-0.0009273504273505436,,,,,,,0.46292663789719846,,,
2000-01-05,5.1388,5.1464,5.1388,5.1412,5.1412,38844,5.1421,0.848,0.008444,0.0432,0.0076,0.1472,0.008473911337779638,0.008438209299916143,,,,,5.140849422632793,5.142168457368162,,-0.0013190347353688736,-0.0012246989772950211,-9.433575807385247e-05,,,,,,,0.14782541041002198,,,
2000-01-06,5.2123,5.2291,5.2123,5.2239,5.2239,24445,5.2218,1.6076,0.015948,0.0826,0.0168,0.3225,0.016085738738037758,0.01595773411746987,,,,,5.167065244252872,5.165017025053971,,0.00204821919890108,-0.00011598685798739898,0.002164206056888479,,,,,,,0.32159880549014963,,,
2000-01-07,5.2766,5.2832,5.2766,5.2779,5.2779,40020,5.2792,1.0344,0.010291,0.054,0.0066,0.1251,0.010337104462183389,0.010284041959663395,,,,,5.197178651268537,5.1911950525409525,,0.0059835987275844715,0.0016985019525706298,0.004285096775013842,,,,,,,0.12504973569032604,,,
2000-01-10,5.2103,5.2103,5.2018,5.2051,5.2051,34989,5.2057,-1.3802,-0.013898,-0.0728,0.0085,0.1637,-0.013793364785236517,-0.013889377152725273,,,,,5.19910395575089,5.193980102615118,,0.005123853135772016,0.0026269625690598596,0.0024968905667121567,,,,,,,0.1633013774951438,,,
2000-01-11,5.2195,5.2692,5.2195,5.2464,5.2464,23324,5.245,0.7942,0.007911,0.0413,0.0497,0.9519,0.007934525753587884,0.00790321292999904,,,,,5.209657902548847,5.203302709627475,,0.006355192921372321,0.0035704782110948475,0.0027847147102774738,,,,,,,0.9473162549557721,,,
2000-01-12,5.2317,5.2317,5.2264,5.2265,5.2265,22866,5.2282,-0.3792,-0.003799,-0.0199,0.0053,0.1021,-0.0037930771576701883,-0.0038002891176221352,,,,,5.213172588697867,5.207040367896506,,0.006132220801360333,0.004186113129115732,0.001946107672244601,,,,,,,0.10140629484358715,,,
2000-01-13,5.1937,5.1937,5.1786,5.1864,5.1864,34122,5.1862,-0.7676,-0.007706,-0.0401,0.0151,0.2925,-0.007672438534392034,-0.007702023111975921,,,,,5.207876017737373,5.203981012257547,,0.0038950054798263523,0.00411886581793739,-0.00022386033811103764,,,,,,,0.2911460743482849,,,
2000-01-14,5.3313,5.3375,5.3313,5.3322,5.3322,36769,5.3337,2.8108,0.02772,0.1458,0.0062,0.1156,0.028111985192040834,0.02772409611169872,5.21286,,,,5.2314353640583215,5.221673984650616,,0.009761379407705384,0.005383116409509792,0.004378262998195592,,,,,,,0.11627470837554196,,,
